t=2025-11-26T22:17:12+0300 lvl=info msg="no configuration paths supplied"
t=2025-11-26T22:17:12+0300 lvl=info msg="using configuration at default config path" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-26T22:17:12+0300 lvl=info msg="open config file" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-26T22:46:39+0300 lvl=info msg="join connections" obj=join id=a7e2ee7da54a l=127.0.0.1:3000 r=62.84.96.86:54666
t=2025-11-26T22:46:43+0300 lvl=info msg="join connections" obj=join id=c5ed1897f1dc l=127.0.0.1:3000 r=62.84.96.86:38516
t=2025-11-26T22:46:54+0300 lvl=info msg="join connections" obj=join id=56e0a40018ff l=127.0.0.1:3000 r=62.84.96.86:45388
t=2025-11-26T22:46:55+0300 lvl=info msg="join connections" obj=join id=29651e02b011 l=127.0.0.1:3000 r=62.84.96.86:45388
t=2025-11-26T22:48:36+0300 lvl=info msg="join connections" obj=join id=59a727693a54 l=127.0.0.1:3000 r=62.84.96.86:35652
t=2025-11-26T22:48:37+0300 lvl=info msg="join connections" obj=join id=ede5026f96ba l=127.0.0.1:3000 r=62.84.96.86:35652
t=2025-11-26T22:51:00+0300 lvl=info msg="join connections" obj=join id=83c69883910a l=127.0.0.1:3000 r=62.84.96.86:43806
t=2025-11-26T22:51:00+0300 lvl=info msg="join connections" obj=join id=0d20ae5a69a6 l=127.0.0.1:3000 r=62.84.96.86:43806
t=2025-11-26T22:52:37+0300 lvl=info msg="join connections" obj=join id=8da1b474ad28 l=127.0.0.1:3000 r=62.84.96.86:39968
t=2025-11-26T22:52:38+0300 lvl=info msg="join connections" obj=join id=2cdf0ea8f2bc l=127.0.0.1:3000 r=62.84.96.86:54494
t=2025-11-26T22:52:38+0300 lvl=info msg="join connections" obj=join id=52e087eca8d9 l=127.0.0.1:3000 r=62.84.96.86:54494
t=2025-11-26T22:52:39+0300 lvl=info msg="join connections" obj=join id=4f6101de524b l=127.0.0.1:3000 r=62.84.96.86:58718
t=2025-11-26T22:54:37+0300 lvl=info msg="join connections" obj=join id=a3caa6db040b l=127.0.0.1:3000 r=62.84.96.86:38552
t=2025-11-26T22:54:38+0300 lvl=info msg="join connections" obj=join id=3c60dbc08f5e l=127.0.0.1:3000 r=62.84.96.86:58418
t=2025-11-26T22:54:38+0300 lvl=info msg="join connections" obj=join id=86273bf33830 l=127.0.0.1:3000 r=62.84.96.86:58418
t=2025-11-26T22:54:38+0300 lvl=info msg="join connections" obj=join id=bc1c5353e7f1 l=127.0.0.1:3000 r=62.84.96.86:58418
t=2025-11-26T22:54:39+0300 lvl=info msg="join connections" obj=join id=8398b1860bf4 l=127.0.0.1:3000 r=62.84.96.86:39266
t=2025-11-26T22:55:13+0300 lvl=info msg="join connections" obj=join id=2902f78336ab l=127.0.0.1:3000 r=62.84.96.86:52086
t=2025-11-26T22:55:15+0300 lvl=info msg="join connections" obj=join id=f2b08e8ea7ae l=127.0.0.1:3000 r=62.84.96.86:52086
t=2025-11-26T22:57:37+0300 lvl=info msg="join connections" obj=join id=69f0a4f09e94 l=127.0.0.1:3000 r=62.84.96.86:39210
t=2025-11-26T22:57:38+0300 lvl=info msg="join connections" obj=join id=36305ccaefa6 l=127.0.0.1:3000 r=62.84.96.86:51332
t=2025-11-26T22:57:38+0300 lvl=info msg="join connections" obj=join id=26620d609c45 l=127.0.0.1:3000 r=62.84.96.86:51332
t=2025-11-26T22:57:38+0300 lvl=info msg="join connections" obj=join id=af0dbdd8de76 l=127.0.0.1:3000 r=62.84.96.86:51332
t=2025-11-26T22:57:39+0300 lvl=info msg="join connections" obj=join id=db9c672549e5 l=127.0.0.1:3000 r=62.84.96.86:45474
t=2025-11-26T22:59:18+0300 lvl=info msg="join connections" obj=join id=28779d5a5506 l=127.0.0.1:3000 r=62.84.96.86:38496
t=2025-11-26T22:59:18+0300 lvl=info msg="join connections" obj=join id=449f00622c7e l=127.0.0.1:3000 r=62.84.96.86:38496
t=2025-11-26T23:01:37+0300 lvl=info msg="join connections" obj=join id=fbf5f198c6a3 l=127.0.0.1:3000 r=62.84.96.86:52836
t=2025-11-26T23:01:38+0300 lvl=info msg="join connections" obj=join id=83c9eb17bcf1 l=127.0.0.1:3000 r=62.84.96.86:57654
t=2025-11-26T23:01:38+0300 lvl=info msg="join connections" obj=join id=0b8feebff317 l=127.0.0.1:3000 r=62.84.96.86:57654
t=2025-11-26T23:01:38+0300 lvl=info msg="join connections" obj=join id=d5c929a4c43f l=127.0.0.1:3000 r=62.84.96.86:57654
t=2025-11-26T23:01:39+0300 lvl=info msg="join connections" obj=join id=35ddbd49b454 l=127.0.0.1:3000 r=62.84.96.86:57980
t=2025-11-26T23:04:37+0300 lvl=info msg="join connections" obj=join id=13bb1586bc0e l=127.0.0.1:3000 r=62.84.96.86:50220
